541108	Grocers Health Foods	12,830
542101	Seafood Markets	4,009
543102	Farm Markets	2
546103	Bakers Cake & Pie	32,449
546105	Doughnuts	8,279
549910	Food Specialties Retail	9,111
549999	Miscellaneous Food Stores	24,540
551102	(All) Auto Dealers	137,570
551105	Truck Dealers-New	1,664
551108	Vans Dealers	295
553129	Automobile Accessories	11,014
554101	Gas Stations	187,639
554103	Truck Stops & Plazas	1,254
554112	Electric Charging Station	9,032
555103	Boat Equipment & Supplies	1,614
555104	Boat Dealers	7,472
555107	Yachts	141
557101	All Terrain Vehicles	1
557106	Motorcycle Dealers	11,317
564103	Children's Clothing	9,256
565101	Clothing Retail	130,215
566112	Rubber & Plastic Footwear Retail	36,951
569913	Sportswear	71,814
569919	Tailors	43
571216	Furniture Stores	104,016
571921	Chinaware & Glassware Retail	8,130
571926	Lighting Stores	10,390
571928	Kitchen Accessories	16,146
572233	Grills Barbecue	14,192
573117	Electronic Equipment & Supplies Retail	56,537
573122	Marine Electronic Equipment & Supplies Retail	2
573132	Dvd Sales & Service	36,185
573401	Computer Software	2,563
573402	Computer Parts & Supplies	96,229
573608	Musical Instruments	17,372
581203	Ice Cream Parlors	17,970
581206	Foods Carry Out	16
581208	(All) Restaurants	474,134
581209	Delicatessens	20,714
581212	Caterers	13,546
581213	Cafeterias	1,004
581214	Cafes	56,929
581217	Appetizers & Snacks Etc	1,244
581219	Subs & Sandwiches	13,628
581223	Banquet Rooms	13,717
581226	Theatres Dinner	95
581228	Coffee Shops	30,241
581236	Tea Rooms	592
581248	Juice Bars	3,202
581254	Restaurants Cyber Cafes	1,462
581301	Bars	59,125
581302	Discotheques	224
581303	Cocktail Lounges	13,838
581305	Pubs	9,409
581307	Comedy Clubs	358
581309	Karaoke Clubs	9
591205	Pharmacies	102,403
592103	Wines Retail	43,604
593218	Flea Markets	124
593229	Pawn Shops	75
594142	Bicycle Racks & Security Systems	346
594201	Book Stores	20,366
594409	Jewelers	62,111
594508	Hobby & Model Shops	24,940
594517	Toy Stores	17,975
594712	Gift Shops	64,362
599201	Florists	33,900
599504	Opticians	21,872
599902	Cell Phones	62,971
599929	Pet Supplies	19,004
599931	Factory Outlets	7,515
599940	Wedding Supplies & Services	50
599969	Art Galleries & Dealers	30,224
599972	Monuments	667
602101	Banks	174,165
609901	Currency Exchanges	18,848
621111	Investments	131,911
623102	Stock Exchanges	919
628205	Financial Planners	81,182
637104	Government Pension Health/Welfare Funds	53,392
641112	(All) Insurance	241,406
651201	Shopping Centers & Malls	15,807
651301	Condominiums	7,470
651303	Apartments	16,838
651401	Townhouses	81
653118	Real Estate Agents	386,278
653123	Housing Rental	742
655202	Real Estate Developers	22,892
701101	Hotels & Motels	96,807
701106	Cottages & Cabins	2,397
701107	Bed & Breakfasts	10,771
701108	Chalet & Cabin Rentals	1
701110	Skiing Centers & Resorts	432
701111	Resorts	10,955
701116	Villas	4
702103	Hostels	688
703208	Adventure Games & Activities	40
703301	Campgrounds	10,250
721201	Dry Cleaners	45,845
721999	Laundry & Garment Services NEC	17,338
722121	Photography	37,639
723102	Manicurists	50,872
724101	Barbers	53,512
726103	Funeral Homes	29,711
729101	Tax Return Preparation & Filing	47,183
731115	Advertising Marketing	129,413
731908	Distribution Services	21,690
734922	House Cleaning	73,843
735922	Toilets Portable	28
735999	Misc Equipment Rental & Leasing	14,841
737101	Computer Services	53,593
738114	Traffic Control Services	4
738301	News Service	37,414
738409	Photo Laboratories Commercial	6,444
738931	Convention & Meeting Facilities & Service	4,306
738999	Business Services NEC	203,798
751401	Auto Rental	54,098
752102	Parking Garages	42,364
753201	Auto Body Shops	78,999
753402	Tire Service	47,302
753698	Glass Replacement Shops	18,624
753812	Truck Repair & Service	31,354
754201	Car Washes	24,201
762902	Appliances Household Major Repairing	4,736
769967	Motorcycle Repair & Service	6,430
769999	Repair Shops & Related Services NEC	10,100
783201	Movie Theatres	6,028
783301	Movie Theatres (drive-Ins)	23
784102	Video & DVD Rental	7,721
792207	Theatres Live	10,670
792213	Concert Venues	23
792905	Entertainment Bureaus	238
793301	Bowling Centers	4,281
794104	Stadiums Arenas & Athletic Fields	3,573
794801	Race Tracks	1,502
794803	Horse Racing	14
799101	Health Clubs & Gyms	85,116
799290	Golf Courses-Public Or Private	18,561
799302	Casinos	1,926
799303	Arcades	542
799601	Amusement Places	6,815
799602	Water Parks	2,592
799604	Amusement Parks	625
799701	Recreation Centers	967
799705	Hockey Clubs	197
799712	Flying Clubs	156
799714	Beach & Cabana Clubs	199
799729	Sports Recreational	6,212
799901	Skating Rinks	1,874
799909	Bicycles Renting	12
799910	Baths Bath Houses Spas & Saunas	443
799912	Billiard Parlors	7,262
799923	Fairgrounds	9
799940	Historical Places	222
799951	Parks	51,424
799954	Picnic Grounds	22
799968	Horseback Riding	5,409
799969	Swimming Pools Public	2,917
799971	Tennis Courts Public	1,429
799984	Squash Courts Public	13
801101	(All) Doctors	412,621
802101	(All) Dentists	153,963
805904	Retirement Communities & Homes	3,651
805911	Homes Personal Care Facility	133,387
805999	Nursing & Personal Care NEC	270,988
806202	Hospitals	49,614
806203	Emergency Medical & Surgical Service	1,139
806998	Specialty Hospitals Except Psychiatric	995
809916	Blood Banks & Centers	4
811198	Legal Services	318,059
821103	Schools (K-12)	133,832
821107	Schools With Special Academic Education	434
821115	Technical Schools	4,359
822101	Colleges & Universities	21,809
822298	Junior Colleges & Technical Institutes	3
823106	Libraries	20,432
824999	Vocational Schools NEC	11,783
829902	Driving Instruction	7,825
829912	Language Schools	1,926
829919	Art Schools	8,459
829924	Culinary Schools	456
829950	Hiking Backpacking & Mountaineering Service	54
829975	Sports Tutoring	20,007
832268	Soup Kitchens	39
835101	Day Care	94,190
835102	Preschools	19,436
836105	Residential Care Homes	2
841201	Museums	39,399
841204	Planetariums	5
841206	Cultural Centres	2,441
841211	National Monuments	2
842201	Zoos	184
842203	Arboretums	378
842205	Aquariums Public	87
861112	Motoring Organisations	196
864108	Clubs	22,908
864110	Community Organizations	16,964
866104	Church Organizations	322,369
866107	(All) Places Of Worship	53,548
866112	Synagogues	2,274
866114	Mosques	442
866116	Ashrams	1
869921	Dance Clubs	14,436
871147	Engineering	1,238
873101	Research Labs	26,119
873122	Laboratories Agricultural	36,832
873306	Observatories	3
874838	Industrial Developments	56
901006	Beach	3,429
901010	Cave	1
901014	Forest	1
901023	Ridge	6,102
901027	Valley	43,218
902101	Bay	3,534
902208	Rapids	346
902209	Reservoir	43,134
902212	Swamp	1,825
903001	Bridge	2
903002	Building	359
903005	Dam	1
903010	Tower	5
911101	Federal Government Executive Offices	18,873
911102	State Government Executive Offices	1
911104	City Government Executive Offices	42,700
919901	Federal Government General Offices	36,072
919902	State Government General Offices	9,199
919906	Government Offices Native American	3,230
922301	Federal Government Correctional Institutions	2,163
922404	Fire & Rescue	30,016
962105	Port Services	10,947
962107	Transportation Authorities	4,061
963104	City Government Regulation/Adm Comms/Utilities	46,624
971109	Military Bases	158
972101	Federal Government International Affairs	1,477
999333	Tourist Attractions	1,197
